流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Citation,Citation Update,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check
000011,FC before,20190701.0,B,賴孚權,,5.0,,Brueckner and Lin,Jan K. Brueckner and Ming Hsin Lin,2016.0,Convenient flight connections vs. airport congestion: Modeling the ‘rolling hub’,International Journal of Industrial Organization,IJIO,48,118-142,,,"Rolling hub, congestion, layover, hub-and-spoke","Brueckner and Lin (2016)_Convenient Flight Connections vs. Airport Congestion_IJIO 48, 118-142",2018-11-14 00:00:00,2018-11-14 00:00:00,0,1.0,/volume1/web/DB/000011,"/volume1/web/DB/Brueckner and Lin (2016)_Convenient Flight Connections_IJIO 48, 118-142_en.pdf",/volume1/web/DB/Brueckner_Lin_2016_IJIO_inChinese_20181114_pcn.pdf,2020-07-02 00:00:34.131076,1
000012,FC before,20190701.0,B,賴孚權,,721.0,,Buchanan,James M. Buchanan,1969.0,"External Diseconomies, Corrective Taxes, and Market Structure",American Economic Review,AER,59(1),174-177,,,,"Buchanan (1969)_External Diseconomies, Corrective Taxes, and Market Structure_American Economic Review 59(1), 174-177",2019-03-29 00:00:00,2019-03-29 00:00:00,0,1.0,/volume1/web/DB/000012,"/volume1/web/DB/Buchanan (1969)_External Diseconomies_AER 59(1), 174-177_en.pdf",/volume1/web/DB/Buchanan1969_AER_inChinese_20190329_pcn.pdf,2020-07-02 00:00:34.130861,1
000013,FC before,20190701.0,B,賴孚權,,121.0,,Carlton and Loury,Dennis W. Carlton and Glenn C. Loury,1980.0,The Limitations of Pigouvian Taxes as a Long-Run Remedy for Externalities,Quarterly Journal of Economics,QJE,95(3),559-566,,,,"Carlton and Loury (1980)_The Limitations of Pigouvian Taxes as a Long-Run Remedy for Externalities_QJE 95(3), 559-566",2019-04-01 00:00:00,2019-04-01 00:00:00,1,3.0,/volume1/web/DB/000013,"/volume1/web/DB/Carlton and Loury (1980)_The Limitations of Pigouvian Taxes_QJE 95(3), 559-566_en.pdf",/volume1/web/DB/Carlton_Loury1980_QJE_inChinese_20190401_fcnfin.pdf,2020-07-02 00:00:34.130632,1
000014,FC before,20190701.0,B,賴孚權,,37.0,,Chen and Lai,Chin-Sheng Chen and Fu-Chuan Lai,2008.0,Location choice and optimal zoning under Cournot competition,Regional Science and Urban Economics,RSUE,38(2),119-126,,"L13, R38","Location choice, Zoning regulation, Cournot competition","Chen and Lai (2008)_Location Choice and Optimal Zoning under Cournot Competition_RSUE 38(2), 119-126",2019-03-04 00:00:00,2019-03-04 00:00:00,0,1.0,/volume1/web/DB/000014,"/volume1/web/DB/Chen and Lai (2008)_Location Choice and Optimal Zoning under Cournot Competition_RSUE 38(2), 119-126_en.pdf",/volume1/web/DB/Chen_Lai2008_RSUE_inChinese_20190304_pcn.pdf,2020-07-02 00:00:34.130417,1
000015,FC before,20190701.0,B,賴孚權,,21.0,,"Choe, King and Matsushima","Chongwoo Choe, Stephen King and Noriaki Matsushima",2018.0,Pricing with Cookies: Behavior-Based Price Discrimination and Spatial Competition,Management Science,ManagSci,64(12),5461-5959,,,"spatial competition, behavior-based price discrimination, personalized pricing, endogenous product choice","Choe, King and Matsushima (2018)_Pricing with Cookies：Behavior-Based Price Discrimination and Spatial Competition_Management Science 64(2), 5461-5959",2019-01-15 00:00:00,2019-01-15 00:00:00,0,1.0,/volume1/web/DB/000015,"/volume1/web/DB/Choe, King and Matsushima (2018)_Pricing with Cookies_Management Science 64(12), 5461-5959_en.pdf",/volume1/web/DB/Choe_King_Matsushima2018_ManagementScience_inChinese_20190115_pcn.pdf,2020-07-02 00:00:34.130193,1
000016,FC before,20190701.0,B,賴孚權,,226.0,,Choi,Jay Pil Choi,2010.0,Tying in Two-Sided Markets with Multi-Homing,Journal of Industrial Economics,JIE,58(3),607-626,,"L1, L4","tying, two-sided markets, (indirect) network effects, multi-homing","Choi (2010)_Tying in Two Sided Markets with Multi Homing_Journal of Industrial Economics 58(3), 607-626",2009-12-11 00:00:00,2009-12-11 00:00:00,1,3.0,/volume1/web/DB/000016,"/volume1/web/DB/Choi (2010)_Tying in Two Sided Markets with Multi Homing_JIE_58(3), 607-626_en.pdf",/volume1/web/DB/choi2006workingpaper_inChinese_20091211_fcnfin.pdf,2020-07-02 00:00:34.129974,1
000017,FC before,20190701.0,B,賴孚權,,353.0,,Choi and Kim,Jay Pil Choi and Byung-Cheol Kim,2010.0,Net neutrality and investment incentives,RAND Journal of Economics,RAND,41(3),446-471,,,,"Choi and Kim (2010)_Net Neutrality and Investment Incentives_RAND Journal of Economics 41(3), 446-471",2018-11-07 00:00:00,2018-11-07 00:00:00,1,3.0,/volume1/web/DB/000017,"/volume1/web/DB/Choi and Kim (2010)_Net Neutrality and Investment Incentives_RAND Journal of Economics 41(3), 446-471_en.pdf",/volume1/web/DB/Choi_Kim2010_RAND_inChinese_20181107_fcnfin.pdf,2020-07-02 00:00:34.129699,1
000018,FC before,20190701.0,B,賴孚權,,70.0,,"Choi, Jeon and Kim","Jay Pil Choi, Doh-Shin Jeon and Byung-Cheol Kim",2015.0,"Net Neutrality, Business Models, and Internet Interconnection",American Economic Journal: Microeconomics,AEJMicro,7(3),104-141,,"D42, D43, D85, L51, L86, L88",,"Choi, Jeon and Kim (2015)_Net Neutrality, Business Models, and Internet Interconnection_AEJ Micro 7(3), 104-141",2018-10-17 00:00:00,2018-10-17 00:00:00,1,3.0,/volume1/web/DB/000018,"/volume1/web/DB/Choi, Jeon and Kim (2015)_Net Neutrality, Business Models_AEJ Micro 7(3), 104-141_en.pdf",/volume1/web/DB/Choi_Jeon_Kim2015_AEJ_inChinese_20181017_fcnfin.pdf,2020-07-02 00:00:34.129442,1
000019,FC before,20190701.0,B,賴孚權,,20.0,,"Choi, Jeon and Kim","Jay Pil Choi, Doh-Shin Jeon and Byung-Cheol Kim",2018.0,"Net Neutrality, Network Capacity, and Innovation at the Edges",Journal of Industrial Economics,JIE,66(1),172-204,,,,"Choi, Jeon and Kim (2018)_Net Neutrality, Network Capacity, and Innovation at the Edges_Journal of Industrial Economics 66(1), 172-204",2018-10-01 00:00:00,2018-10-01 00:00:00,1,3.0,/volume1/web/DB/000019,"/volume1/web/DB/Choi, Jeon and Kim (2018)_Net Neutrality, Network Capacity, and Innovation at the Edges_JIE_66(1), 172-204_en.pdf",/volume1/web/DB/Choi_Jeon_Kim2018_JIE_inChinese_20181001_fcnfin.pdf,2020-07-02 00:00:34.129145,1
000020,FC before,20190701.0,B,賴孚權,,68.0,,Clark,Colin Clark,1967.0,Von Thünen's Isolated State,"Oxford Economic Papers, New Series",OxfordEPapers,19(3),370-377,,,,"Clark (1967)_Von Thunen's Isolated State_Oxford Economic Papers, New Series 19(3), 370-377",2017-08-17 00:00:00,2017-08-17 00:00:00,1,3.0,/volume1/web/DB/000020,"/volume1/web/DB/Clark (1967)_Von Thunen's Isolated State_Oxford Economic Papers, New Series 19(3), 370-377_en.pdf",/volume1/web/DB/Clark_1967_inChinese_20170817_fcnfin.pdf,2020-07-02 00:00:34.128905,1
000021,FC before,20190701.0,B,賴孚權,,318.0,,Coase,R. H. Coase,1960.0,The Problem of Social Cost,Journal of Law and Economics,JLawE,3,1-44,,,,"Coase (1960)_The Problem of Social Cost_Journal of Law and Economics 3, 1-44",2015-03-18 00:00:00,2015-03-18 00:00:00,0,1.0,/volume1/web/DB/000021,"/volume1/web/DB/Coase (1960)_The Problem of Social Cost_Journal of Law and Economics 3, 1-44_en.pdf",/volume1/web/DB/Coase1960_Journal-Law-and-Economics_20150318_pcn.pdf,2020-07-02 00:00:34.128674,1
000022,FC before,20190701.0,B,賴孚權,,357.0,,Coate and Conlin,Stephen Coate and Michael Conlin,2004.0,A Group Rule–Utilitarian Approach to Voter Turnout: Theory and Evidence,American Economic Review,AER,94(5),1476-1505,,D27,,"Coate and Conlin (2004)_A Group Rule -- Utilitarian Approach to Voter Turnout - Theory and Evidence_AER 94(5), 1476-1505",2018-03-14 00:00:00,2018-03-14 00:00:00,0,1.0,/volume1/web/DB/000022,"/volume1/web/DB/Coate and Conlin (2004)_A Group Rule_AER 94(5), 1476-1505_en.pdf",/volume1/web/DB/Coate_Conlin2004_AER_inChinese_20180314_pcn.pdf,2020-07-02 00:00:34.128459,1
000023,FC before,20190701.0,A,賴孚權,,106.0,,Goldfarb and Tucker,Avi Goldfarb and Catherine Tucker,2019.0,Digital Economics,Journal of Economic Literature,JEL,57 (1),3-43,,"L81, L86, O33",,Goldfarb and Tucker (2017)_Digital Economics_NBER Working Paper Series No. 23684,2020-01-13 00:00:00,2020-01-16 00:00:00,1,2.0,/volume1/web/DB/000023,"/volume1/web/DB/! Goldfarb and Tucker (2019)_Digital Economics_Journal of Economic Literature 57(1), 3-43_en.pdf",/volume1/web/DB/Goldfarb_Tucker2019_JEL_inChinese_20200116_fcnn.pdf,2020-07-02 00:00:34.064884,1
000024,FC before,20190701.0,B,賴孚權,,2568.0,,"d'Aspremont, Gabszewicz and Thisse","C. d'Aspremont, J. Jaskold Gabszewicz and J.-F. Thisse",1979.0,"On Hotelling's ""Stability in Competition""",Econometrica,Econometrica,47(5),1145-1150,,,,"d'Aspremont, Gabszewicz and Thisse (1979)_On Hotelling's ''Stability in Competition''_Econometrica 47(5), 1145-1150",2015-09-08 00:00:00,2015-09-08 00:00:00,1,3.0,/volume1/web/DB/000024,"/volume1/web/DB/d'Aspremont, Gabszewicz and Thisse (1979)_On Hotelling's ''Stability in Competition''_Econometrica 47(5), 1145-1150_en.pdf",/volume1/web/DB/dAspremont_Gabszewicz_Thisse_1979_Econometrica_inChinese_20150908_fcnfin.pdf,2020-07-02 00:00:34.128229,1
000025,FC before,20190701.0,B,賴孚權,,214.0,,Doganoglu and Wright,Toker Doganoglu and Julian Wright,2006.0,Multihoming and compatibility,International Journal of Industrial Organization,IJIO,24(1),45-67,,"D43, L15, L20, L50","Multihoming, Compatibility, Network effects, Standards, Two-sided markets","Doganoglu and Wright (2006)_Multihoming and Compatibility_IJIO 24(1), 45-67",2010-07-15 00:00:00,2010-07-15 00:00:00,1,3.0,/volume1/web/DB/000025,"/volume1/web/DB/Doganoglu and Wright (2006)_Multihoming and Compatibility_IJIO 24(1), 45-67_en.pdf",/volume1/web/DB/Doganoglu_and_Wright2006_inChinse_20100715_fcnfin.pdf,2020-07-02 00:00:34.128004,1
000026,FC before,20190701.0,B,賴孚權,,111.0,,Duggan and Martinelli,J. Duggan and C. Martinelli,2011.0,A Spatial Theory of Media Slant and Voter Choice,Review of Economic Studies,REStud,78(2),640-666,,"D72, D83","Media slant, Media effects, Spatial model, Voting","Duggan and Martinelli (2011)_Lai_A Spatial Theory of Media Slant and Voter Choice_Review of Economic Studies, 78(2), 640-666",2012-01-30 00:00:00,2012-01-30 00:00:00,0,1.0,/volume1/web/DB/000026,"/volume1/web/DB/Duggan and Martinelli (2011)_Lai_A Spatial Theory of Media Slant and Voter Choice_RES_78(2), 640-666_en.pdf",/volume1/web/DB/Duggan_Martinelli2011_RES_inChinese_20120130_pcn.pdf,2020-07-02 00:00:34.127783,1
000027,FC before,20190701.0,B,賴孚權,,186.0,,Economides and Hermalin,Nicholas Economides and Benjamin E. Hermalin,2012.0,The economics of network neutrality,RAND Journal of Economics,RAND,43(4),602-629,,,,"Economides and Hermalin (2012)_The Economics of Network Neutrality_RAND Journal of Economics 43(4), 602-629",2018-12-03 00:00:00,2018-12-03 00:00:00,1,3.0,/volume1/web/DB/000027,"/volume1/web/DB/Economides and Hermalin (2012)_The Economics of Network Neutrality_RAND 43(4), 602-629_en.pdf",/volume1/web/DB/Economides_Hermalin2012_RAND_inChinese_20181203_fcnfin.pdf,2020-07-02 00:00:34.127553,1
000028,FC before,20190701.0,B,賴孚權,,36.0,,Economides and Hermalin,Nicholas Economides and Benjamin E. Hermalin,2015.0,The strategic use of download limits by a monopoly platform,RAND Journal of Economics,RAND,46(2),297-327,,,,"Economides and Hermalin (2015)_The Strategic Use of Download Limits by a Monopoly Platform_RAND Journal of Economics 46(2), 297-327",2018-12-11 00:00:00,2018-12-11 00:00:00,1,3.0,/volume1/web/DB/000028,"/volume1/web/DB/Economides and Hermalin (2015)_The Strategic Use_RAND 46(2), 297-327_en.pdf",/volume1/web/DB/Economides_Hermalin2015_RAND_inChinese_20181211_fcnfin.pdf,2020-07-02 00:00:34.127238,1
000029,FC before,20190701.0,B,賴孚權,,485.0,,Economides and Tåg,Nicholas Economides and Joacim Tåg,2012.0,Network neutrality on the Internet: A two-sided market analysis,Information Economics and Policy,InfEPolicy,24(2),91-104,,"L1, D4, L12, L13, C63, D42, D43","Network neutrality, Two-sided markets, Internet, Monopoly, Duopoly, Regulation, Discrimination, AT& T, Verizon, Comcast, Google","Economides and Tag (2012)_Network Neutrality on the Internet_Information Economics and Policy 24(2), 91-104",2020-05-04 00:00:00,2020-05-04 00:00:00,0,1.0,/volume1/web/DB/000029,"/volume1/web/DB/Economides and Tag (2012)_Network Neutrality_Information EconPolicy 24(2), 91-104_en.pdf",/volume1/web/DB/Economides_Tag2012_InformationEconPolicy_inChinese_20200504_pcn.pdf,2020-07-02 00:00:34.126977,1
000030,FC before,20190701.0,B,賴孚權,,260.0,,Fan,Ying Fan,2013.0,Ownership Consolidation and Product Characteristics: A Study of the US Daily Newspaper Market,American Economic Review,AER,103(5),1598–1628,,"G32, L13, L82, M37",,"Fan (2013)_Ownership Consolidation and Product Characteristics - A Study of the US Daily Newspaper Market_AER 103(5), 1598-1628",2018-03-14 00:00:00,2018-03-14 00:00:00,0,1.0,/volume1/web/DB/000030,"/volume1/web/DB/Fan (2013)_Ownership Consolidation and Product Characteristics_AER 103(5), 1598-1628_en.pdf",/volume1/web/DB/Fan2013_AER_inChinese_20180314_pcn.pdf,2020-07-02 00:00:34.126742,1
000031,FC before,20190701.0,B,賴孚權,,,,"Fan, Jun and Wolfstetter","Cuihong Fan, Byoung Heon Jun and Elmar G. Wolfstetter",2018.0,Induced price leadership and (double-)spying rivals' play under incomplete information,Working Paper,WorkingPaper,,,,"L12, L13, L41, D43, D82","Industrial espionage, price leadership, collusion, antitrust policy, incomplete information","Fan, Jun and Wolfstetter (2018)_Induced Price Leadership and (Double-)Spying Rivals' Play under Incomplete Information_working paper",2019-01-02 00:00:00,2019-01-02 00:00:00,0,1.0,/volume1/web/DB/000031,"/volume1/web/DB/Fan, Jun and Wolfstetter (2018)_Induced Price Leadership_working paper_en.pdf",/volume1/web/DB/Fan_Jun_Wolfstetter2018_WorkingPaper_inChinese_20190102_pcn.pdf,2020-07-02 00:00:34.126524,1
000032,FC before,20190701.0,B,賴孚權,,2483.0,,Farrell and Saloner,Joseph Farrell and Garth Saloner,1986.0,"Installed Base and Compatibility: Innovation, Product Preannouncements, and Predation",American Economic Review,AER,76(5),940-955,,,,"Farrell and Saloner (1986)_Installed Base and Compatibility - Innovation, Product Preannouncements, and Predation_AER 76(5), 940-955",2010-03-30 00:00:00,2010-03-30 00:00:00,1,3.0,/volume1/web/DB/000032,"/volume1/web/DB/Farrell and Saloner (1986)_Installed Base and Compatibility_AER 76(5), 940-955_en.pdf",/volume1/web/DB/Farrel_Saloner1986_AER_inChinese_20100330_fcnfin.pdf,2020-07-02 00:00:34.126319,1
000033,FC before,20190701.0,B,賴孚權,,451.0,,Feddersen and Sandroni,Timothy Feddersen and Alvaro Sandroni,2006.0,A Theory of Participation in Elections,American Economic Review,AER,96(4),1271-1282,,,,"Feddersen and Sandroni (2006)_A Theory of Participation in Elections_American Economic Review 96(4), 1271-1282",2018-03-14 00:00:00,2018-03-14 00:00:00,0,1.0,/volume1/web/DB/000033,"/volume1/web/DB/Feddersen and Sandroni (2006)_A Theory of Participation in Elections_AER 96(4), 1271-1282_en.pdf",/volume1/web/DB/Feddersen_Sandroni2006_AER_inChinese_20180314_pcn.pdf,2020-07-02 00:00:34.126075,1
000034,FC before,20190701.0,B,賴孚權,,15.0,,Fleckinger and Lafay,Pierre Fleckinger and Thierry Lafay,2010.0,Product flexibility and price competition in Hotelling's duopoly,Mathematical Social Sciences,MathSocSci,60(1),61-68,,"L13, D43, M3","Horizontal differentiation, Catalog competition, Sequential moves","Fleckinger and Lafay (2010)_Product flexibility and price competition_Mathematical Social Sciences 60(1), 61-68",2014-02-17 00:00:00,2014-02-17 00:00:00,0,1.0,/volume1/web/DB/000034,"/volume1/web/DB/Fleckinger and Lafay (2010)_Product flexibility_Mathematical Social Sciences 60(1), 61-68_en.pdf",/volume1/web/DB/Fleckinger_Lafay2010_Mathematical Social Sciences_inChinese_20140217_pcn.pdf,2020-07-02 00:00:34.125870,1
000035,FC before,20190701.0,B,賴孚權,,155.0,,Gabszewicz and Wauthy,Jean J. Gabszewicz and Xavier Y. Wauthy,2004.0,Two-Sided Markets and Price Competition with Multi-homing,CORE Discussion Paper,COREDisPaper,No.2004／30,,,L13,"two-sided markets, networks, vertical differentiation",Gabszewicz and Wauthy (2004)_Two-Sided Markets and Price Competition with Multi-Homing_CORE Discussion Paper No.2004／30,2010-02-04 00:00:00,2010-02-04 00:00:00,1,3.0,/volume1/web/DB/000035,/volume1/web/DB/Gabszewicz and Wauthy (2004)_Two-Sided Markets_CORE Discussion Paper No.2004-30_en.pdf,/volume1/web/DB/Gabszewicz_Wauthy2004_CORE_inChinese_20100204_fcnfin.pdf,2020-07-02 00:00:34.125668,1
000036,FC before,20190701.0,B,賴孚權,,78.0,,Galeotti and Moraga-González,Andrea Galeotti and José Luis Moraga-González,2009.0,Platform intermediation in a market for differentiated products,European Economic Review,EurER,53(4),417–428,,"L12, L13, D42, D43","Two-sided markets, Network externalities, Intermediation, Advertising","Galeotti and Moraga-Gonzalez (2009)_Platform Intermediation in a Market for Differentiated Products_European Economic Review 53(4), 417-428",2011-02-21 00:00:00,2011-02-21 00:00:00,1,3.0,/volume1/web/DB/000036,"/volume1/web/DB/Galeotti and Moraga-Gonzalez (2009)_Platform Intermediation_EuropeanER 53(4), 417-428_en.pdf",/volume1/web/DB/Galeotti_Moraga-Gonzalez2009_EuropeanER_inChinese_20110221_fcnfin.pdf,2020-07-02 00:00:34.125451,1
000037,FC before,20190701.0,B,賴孚權,,60.0,,Genesove and Mullin,David Genesove and Wallace P. Mullin,2006.0,"Predation and its rate of return: the sugar industry, 1887–1914",RAND Journal of Economics,RAND,37(1),47–69,,,,"Genesove and Mullin (2006)_Predation and Its Rate of Return：the Sugar Industry, 1887-1914_RAND Journal of Economics 37(1), 47-69",2018-07-16 00:00:00,2018-07-16 00:00:00,1,3.0,/volume1/web/DB/000037,"/volume1/web/DB/Genesove and Mullin (2006)_Predation and Its Rate of Return_RAND 37(1), 47-69_en.pdf",/volume1/web/DB/Genesove_Mullin2006_RANDJE_inChinese_20180716_fcnfin.pdf,2020-07-02 00:00:34.125180,1
000038,FC before,20190701.0,B,賴孚權,,151.0,,"Gentzkow, Shapiro and Sinkinson","Matthew Gentzkow, Jesse M. Shapiro, and Michael Sinkinson",2014.0,Competition and Ideological Diversity: Historical Evidence from US Newspapers,American Economic Review,AER,104(10),3073–3114,,"D72, K21, L13, L41, L82, N42, N72",,"Gentzkow, Shapiro and Sinkinson (2014)_Competition and Ideological Diversity - Historical Evidence from US Newspapers_AER 104(10), 3073-3114",2018-03-14 00:00:00,2018-03-14 00:00:00,0,1.0,/volume1/web/DB/000038,"/volume1/web/DB/Gentzkow, Shapiro and Sinkinson (2014)_Competition_AER 104(10), 3073-3114_en.pdf",/volume1/web/DB/Gentzkow_Shapiro_Sinkinson2014_AER_inChinese_20180314_pcn.pdf,2020-07-02 00:00:34.124910,1
000039,FC before,20190701.0,B,賴孚權,,18.0,,"Gerardi, McConnell, Romero and Yariv","Dino Gerardi, Margaret A. McConnell, Julian Romero and Leeat Yariv",2016.0,Get Out the (Costly) Vote: Institutional Design For Greater Participation,Economic Inquiry,Einquiry,54(4),1963–1979,,"C92, D72, D02",,"Gerardi, McConnell, Romero and Yariv (2016)_Get Out the (Costly) Vote - Institutional Design_Economic Inquiry 54(4), 1963-1979",2018-03-14 00:00:00,2018-03-14 00:00:00,0,1.0,/volume1/web/DB/000039,"/volume1/web/DB/Gerardi, McConnell, Romero and Yariv (2016)_Get Out the (Costly) Vote_EInquiry 54(4), 1963-1979_en.pdf",/volume1/web/DB/Gerardi_McConnell_Romero_Yariv2016_EInquiry_inChinese_20180314_pcn.pdf,2020-07-02 00:00:34.124695,1
