流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Citation,Citation Update,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check,Unnamed: 29,已列印
000011,FC before,20190701,B,賴孚權,,5.0,,Brueckner and Lin,Jan K. Brueckner and Ming Hsin Lin,2016.0,Convenient flight connections vs. airport congestion: Modeling the ‘rolling hub’,International Journal of Industrial Organization,IJIO,48,118-142,,,"Rolling hub, congestion, layover, hub-and-spoke","Brueckner and Lin (2016)_Convenient Flight Connections vs. Airport Congestion_IJIO 48, 118-142",2018-11-14 00:00:00,2018-11-14 00:00:00,0,1.0,/volume1/web/DB/000011,/volume1/web/DB/000011/000011_en.pdf,/volume1/web/DB/Brueckner_Lin_2016_IJIO_inChinese_20181114_pcn.pdf,2020-10-03 00:00:04.488462,1,,
000012,FC before,20190701,B,賴孚權,,721.0,,Buchanan,James M. Buchanan,1969.0,"External Diseconomies, Corrective Taxes, and Market Structure",American Economic Review,AER,59(1),174-177,,,,"Buchanan (1969)_External Diseconomies, Corrective Taxes, and Market Structure_American Economic Review 59(1), 174-177",2019-03-29 00:00:00,2019-03-29 00:00:00,0,1.0,/volume1/web/DB/000012,/volume1/web/DB/000012/000012_en.pdf,/volume1/web/DB/Buchanan1969_AER_inChinese_20190329_pcn.pdf,2020-10-03 00:00:04.488254,1,,
000013,FC before,20190701,B,賴孚權,,121.0,,Carlton and Loury,Dennis W. Carlton and Glenn C. Loury,1980.0,The Limitations of Pigouvian Taxes as a Long-Run Remedy for Externalities,Quarterly Journal of Economics,QJE,95(3),559-566,,,,"Carlton and Loury (1980)_The Limitations of Pigouvian Taxes as a Long-Run Remedy for Externalities_QJE 95(3), 559-566",2019-04-01 00:00:00,2019-04-01 00:00:00,1,3.0,/volume1/web/DB/000013,/volume1/web/DB/000013/000013_en.pdf,/volume1/web/DB/Carlton_Loury1980_QJE_inChinese_20190401_fcnfin.pdf,2020-10-03 00:00:04.488022,1,,
000014,FC before,20190701,B,賴孚權,,37.0,,Chen and Lai,Chin-Sheng Chen and Fu-Chuan Lai,2008.0,Location choice and optimal zoning under Cournot competition,Regional Science and Urban Economics,RSUE,38(2),119-126,,"L13, R38","Location choice, Zoning regulation, Cournot competition","Chen and Lai (2008)_Location Choice and Optimal Zoning under Cournot Competition_RSUE 38(2), 119-126",2019-03-04 00:00:00,2019-03-04 00:00:00,0,1.0,/volume1/web/DB/000014,/volume1/web/DB/000014/000014_en.pdf,/volume1/web/DB/Chen_Lai2008_RSUE_inChinese_20190304_pcn.pdf,2020-10-03 00:00:04.487818,1,,
000015,FC before,20190701,B,賴孚權,,21.0,,"Choe, King and Matsushima","Chongwoo Choe, Stephen King and Noriaki Matsushima",2018.0,Pricing with Cookies: Behavior-Based Price Discrimination and Spatial Competition,Management Science,ManagSci,64(12),5461-5959,,,"spatial competition, behavior-based price discrimination, personalized pricing, endogenous product choice","Choe, King and Matsushima (2018)_Pricing with Cookies：Behavior-Based Price Discrimination and Spatial Competition_Management Science 64(2), 5461-5959",2019-01-15 00:00:00,2019-01-15 00:00:00,0,1.0,/volume1/web/DB/000015,/volume1/web/DB/000015/000015_en.pdf,/volume1/web/DB/Choe_King_Matsushima2018_ManagementScience_inChinese_20190115_pcn.pdf,2020-10-03 00:00:04.487611,1,,
000016,FC before,20190701,B,賴孚權,,226.0,,Choi,Jay Pil Choi,2010.0,Tying in Two-Sided Markets with Multi-Homing,Journal of Industrial Economics,JIE,58(3),607-626,,"L1, L4","tying, two-sided markets, (indirect) network effects, multi-homing","Choi (2010)_Tying in Two Sided Markets with Multi Homing_Journal of Industrial Economics 58(3), 607-626",2009-12-11 00:00:00,2009-12-11 00:00:00,1,3.0,/volume1/web/DB/000016,/volume1/web/DB/000016/000016_en.pdf,/volume1/web/DB/choi2006workingpaper_inChinese_20091211_fcnfin.pdf,2020-10-03 00:00:04.487382,1,,
000017,FC before,20190701,B,賴孚權,,353.0,,Choi and Kim,Jay Pil Choi and Byung-Cheol Kim,2010.0,Net neutrality and investment incentives,RAND Journal of Economics,RAND,41(3),446-471,,,,"Choi and Kim (2010)_Net Neutrality and Investment Incentives_RAND Journal of Economics 41(3), 446-471",2018-11-07 00:00:00,2018-11-07 00:00:00,1,3.0,/volume1/web/DB/000017,/volume1/web/DB/000017/000017_en.pdf,/volume1/web/DB/Choi_Kim2010_RAND_inChinese_20181107_fcnfin.pdf,2020-10-03 00:00:04.487051,1,,
000018,FC before,20190701,B,賴孚權,,70.0,,"Choi, Jeon and Kim","Jay Pil Choi, Doh-Shin Jeon and Byung-Cheol Kim",2015.0,"Net Neutrality, Business Models, and Internet Interconnection",American Economic Journal: Microeconomics,AEJMicro,7(3),104-141,,"D42, D43, D85, L51, L86, L88",,"Choi, Jeon and Kim (2015)_Net Neutrality, Business Models, and Internet Interconnection_AEJ Micro 7(3), 104-141",2018-10-17 00:00:00,2018-10-17 00:00:00,1,3.0,/volume1/web/DB/000018,/volume1/web/DB/000018/000018_en.pdf,/volume1/web/DB/Choi_Jeon_Kim2015_AEJ_inChinese_20181017_fcnfin.pdf,2020-10-03 00:00:04.486753,1,,
000019,FC before,20190701,B,賴孚權,,20.0,,"Choi, Jeon and Kim","Jay Pil Choi, Doh-Shin Jeon and Byung-Cheol Kim",2018.0,"Net Neutrality, Network Capacity, and Innovation at the Edges",Journal of Industrial Economics,JIE,66(1),172-204,,,,"Choi, Jeon and Kim (2018)_Net Neutrality, Network Capacity, and Innovation at the Edges_Journal of Industrial Economics 66(1), 172-204",2018-10-01 00:00:00,2018-10-01 00:00:00,1,3.0,/volume1/web/DB/000019,/volume1/web/DB/000019/000019_en.pdf,/volume1/web/DB/Choi_Jeon_Kim2018_JIE_inChinese_20181001_fcnfin.pdf,2020-10-03 00:00:04.486508,1,,
000020,FC before,20190701,B,賴孚權,,68.0,,Clark,Colin Clark,1967.0,Von Th?nen's Isolated State,"Oxford Economic Papers, New Series",OxfordEPapers,19(3),370-377,,,,"Clark (1967)_Von Thunen's Isolated State_Oxford Economic Papers, New Series 19(3), 370-377",2017-08-17 00:00:00,2017-08-17 00:00:00,1,3.0,/volume1/web/DB/000020,/volume1/web/DB/000020/000020_en.pdf,/volume1/web/DB/Clark_1967_inChinese_20170817_fcnfin.pdf,2020-10-03 00:00:04.486284,1,,
000021,FC before,20190701,B,賴孚權,,318.0,,Coase,R. H. Coase,1960.0,The Problem of Social Cost,Journal of Law and Economics,JLawE,3,1-44,,,,"Coase (1960)_The Problem of Social Cost_Journal of Law and Economics 3, 1-44",2015-03-18 00:00:00,2015-03-18 00:00:00,0,1.0,/volume1/web/DB/000021,/volume1/web/DB/000021/000021_en.pdf,/volume1/web/DB/Coase1960_Journal-Law-and-Economics_20150318_pcn.pdf,2020-10-03 00:00:04.486060,1,,
000022,FC before,20190701,B,賴孚權,,357.0,,Coate and Conlin,Stephen Coate and Michael Conlin,2004.0,A Group Rule–Utilitarian Approach to Voter Turnout: Theory and Evidence,American Economic Review,AER,94(5),1476-1505,,D27,,"Coate and Conlin (2004)_A Group Rule -- Utilitarian Approach to Voter Turnout - Theory and Evidence_AER 94(5), 1476-1505",2018-03-14 00:00:00,2018-03-14 00:00:00,0,1.0,/volume1/web/DB/000022,/volume1/web/DB/000022/000022_en.pdf,/volume1/web/DB/Coate_Conlin2004_AER_inChinese_20180314_pcn.pdf,2020-10-03 00:00:04.485858,1,,
000023,FC before,20190701,A,賴孚權,,106.0,,Goldfarb and Tucker,Avi Goldfarb and Catherine Tucker,2019.0,Digital Economics,Journal of Economic Literature,JEL,57 (1),3-43,,"L81, L86, O33",,Goldfarb and Tucker (2017)_Digital Economics_NBER Working Paper Series No. 23684,2020-01-13 00:00:00,2020-01-16 00:00:00,1,2.0,/volume1/web/DB/000023,/volume1/web/DB/000023/000023_en.pdf,/volume1/web/DB/Goldfarb_Tucker2019_JEL_inChinese_20200116_fcnn.pdf,2020-10-03 00:00:04.377892,1,,
000024,FC before,20190701,B,賴孚權,,2568.0,,"d'Aspremont, Gabszewicz and Thisse","C. d'Aspremont, J. Jaskold Gabszewicz and J.-F. Thisse",1979.0,"On Hotelling's ""Stability in Competition""",Econometrica,Econometrica,47(5),1145-1150,,,,"d'Aspremont, Gabszewicz and Thisse (1979)_On Hotelling's ''Stability in Competition''_Econometrica 47(5), 1145-1150",2015-09-08 00:00:00,2015-09-08 00:00:00,1,3.0,/volume1/web/DB/000024,/volume1/web/DB/000024/000024_en.pdf,/volume1/web/DB/dAspremont_Gabszewicz_Thisse_1979_Econometrica_inChinese_20150908_fcnfin.pdf,2020-10-03 00:00:04.485641,1,,
000025,FC before,20190701,B,賴孚權,,214.0,,Doganoglu and Wright,Toker Doganoglu and Julian Wright,2006.0,Multihoming and compatibility,International Journal of Industrial Organization,IJIO,24(1),45-67,,"D43, L15, L20, L50","Multihoming, Compatibility, Network effects, Standards, Two-sided markets","Doganoglu and Wright (2006)_Multihoming and Compatibility_IJIO 24(1), 45-67",2010-07-15 00:00:00,2010-07-15 00:00:00,1,3.0,/volume1/web/DB/000025,/volume1/web/DB/000025/000025_en.pdf,/volume1/web/DB/Doganoglu_and_Wright2006_inChinse_20100715_fcnfin.pdf,2020-10-03 00:00:04.485435,1,,
000026,FC before,20190701,B,賴孚權,,111.0,,Duggan and Martinelli,J. Duggan and C. Martinelli,2011.0,A Spatial Theory of Media Slant and Voter Choice,Review of Economic Studies,REStud,78(2),640-666,,"D72, D83","Media slant, Media effects, Spatial model, Voting","Duggan and Martinelli (2011)_Lai_A Spatial Theory of Media Slant and Voter Choice_Review of Economic Studies, 78(2), 640-666",2012-01-30 00:00:00,2012-01-30 00:00:00,0,1.0,/volume1/web/DB/000026,/volume1/web/DB/000026/000026_en.pdf,/volume1/web/DB/Duggan_Martinelli2011_RES_inChinese_20120130_pcn.pdf,2020-10-03 00:00:04.485220,1,,
000027,FC before,20190701,B,賴孚權,,186.0,,Economides and Hermalin,Nicholas Economides and Benjamin E. Hermalin,2012.0,The economics of network neutrality,RAND Journal of Economics,RAND,43(4),602-629,,,,"Economides and Hermalin (2012)_The Economics of Network Neutrality_RAND Journal of Economics 43(4), 602-629",2018-12-03 00:00:00,2018-12-03 00:00:00,1,3.0,/volume1/web/DB/000027,/volume1/web/DB/000027/000027_en.pdf,/volume1/web/DB/Economides_Hermalin2012_RAND_inChinese_20181203_fcnfin.pdf,2020-10-03 00:00:04.485001,1,,
000028,FC before,20190701,B,賴孚權,,36.0,,Economides and Hermalin,Nicholas Economides and Benjamin E. Hermalin,2015.0,The strategic use of download limits by a monopoly platform,RAND Journal of Economics,RAND,46(2),297-327,,,,"Economides and Hermalin (2015)_The Strategic Use of Download Limits by a Monopoly Platform_RAND Journal of Economics 46(2), 297-327",2018-12-11 00:00:00,2018-12-11 00:00:00,1,3.0,/volume1/web/DB/000028,/volume1/web/DB/000028/000028_en.pdf,/volume1/web/DB/Economides_Hermalin2015_RAND_inChinese_20181211_fcnfin.pdf,2020-10-03 00:00:04.484735,1,,
000029,FC before,20190701,B,賴孚權,,485.0,,Economides and T?g,Nicholas Economides and Joacim T?g,2012.0,Network neutrality on the Internet: A two-sided market analysis,Information Economics and Policy,InfEPolicy,24(2),91-104,,"L1, D4, L12, L13, C63, D42, D43","Network neutrality, Two-sided markets, Internet, Monopoly, Duopoly, Regulation, Discrimination, AT& T, Verizon, Comcast, Google","Economides and Tag (2012)_Network Neutrality on the Internet_Information Economics and Policy 24(2), 91-104",2020-05-04 00:00:00,2020-05-04 00:00:00,0,1.0,/volume1/web/DB/000029,/volume1/web/DB/000029/000029_en.pdf,/volume1/web/DB/Economides_Tag2012_InformationEconPolicy_inChinese_20200504_pcn.pdf,2020-10-03 00:00:04.484507,1,,
000030,FC before,20190701,B,賴孚權,,260.0,,Fan,Ying Fan,2013.0,Ownership Consolidation and Product Characteristics: A Study of the US Daily Newspaper Market,American Economic Review,AER,103(5),1598–1628,,"G32, L13, L82, M37",,"Fan (2013)_Ownership Consolidation and Product Characteristics - A Study of the US Daily Newspaper Market_AER 103(5), 1598-1628",2018-03-14 00:00:00,2018-03-14 00:00:00,0,1.0,/volume1/web/DB/000030,/volume1/web/DB/000030/000030_en.pdf,/volume1/web/DB/Fan2013_AER_inChinese_20180314_pcn.pdf,2020-10-03 00:00:04.484288,1,,
000031,FC before,20190701,B,賴孚權,,,,"Fan, Jun and Wolfstetter","Cuihong Fan, Byoung Heon Jun and Elmar G. Wolfstetter",2018.0,Induced price leadership and (double-)spying rivals' play under incomplete information,Working Paper,WorkingPaper,,,,"L12, L13, L41, D43, D82","Industrial espionage, price leadership, collusion, antitrust policy, incomplete information","Fan, Jun and Wolfstetter (2018)_Induced Price Leadership and (Double-)Spying Rivals' Play under Incomplete Information_working paper",2019-01-02 00:00:00,2019-01-02 00:00:00,0,1.0,/volume1/web/DB/000031,/volume1/web/DB/000031/000031_en.pdf,/volume1/web/DB/Fan_Jun_Wolfstetter2018_WorkingPaper_inChinese_20190102_pcn.pdf,2020-10-03 00:00:04.484075,1,,
000032,FC before,20190701,B,賴孚權,,2483.0,,Farrell and Saloner,Joseph Farrell and Garth Saloner,1986.0,"Installed Base and Compatibility: Innovation, Product Preannouncements, and Predation",American Economic Review,AER,76(5),940-955,,,,"Farrell and Saloner (1986)_Installed Base and Compatibility - Innovation, Product Preannouncements, and Predation_AER 76(5), 940-955",2010-03-30 00:00:00,2010-03-30 00:00:00,1,3.0,/volume1/web/DB/000032,/volume1/web/DB/000032/000032_en.pdf,/volume1/web/DB/Farrel_Saloner1986_AER_inChinese_20100330_fcnfin.pdf,2020-10-03 00:00:04.483878,1,,
000033,FC before,20190701,B,賴孚權,,451.0,,Feddersen and Sandroni,Timothy Feddersen and Alvaro Sandroni,2006.0,A Theory of Participation in Elections,American Economic Review,AER,96(4),1271-1282,,,,"Feddersen and Sandroni (2006)_A Theory of Participation in Elections_American Economic Review 96(4), 1271-1282",2018-03-14 00:00:00,2018-03-14 00:00:00,0,1.0,/volume1/web/DB/000033,/volume1/web/DB/000033/000033_en.pdf,/volume1/web/DB/Feddersen_Sandroni2006_AER_inChinese_20180314_pcn.pdf,2020-10-03 00:00:04.483666,1,,
000034,FC before,20190701,B,賴孚權,,15.0,,Fleckinger and Lafay,Pierre Fleckinger and Thierry Lafay,2010.0,Product flexibility and price competition in Hotelling's duopoly,Mathematical Social Sciences,MathSocSci,60(1),61-68,,"L13, D43, M3","Horizontal differentiation, Catalog competition, Sequential moves","Fleckinger and Lafay (2010)_Product flexibility and price competition_Mathematical Social Sciences 60(1), 61-68",2014-02-17 00:00:00,2014-02-17 00:00:00,0,1.0,/volume1/web/DB/000034,/volume1/web/DB/000034/000034_en.pdf,/volume1/web/DB/Fleckinger_Lafay2010_Mathematical Social Sciences_inChinese_20140217_pcn.pdf,2020-10-03 00:00:04.483467,1,,
000035,FC before,20190701,B,賴孚權,,155.0,,Gabszewicz and Wauthy,Jean J. Gabszewicz and Xavier Y. Wauthy,2004.0,Two-Sided Markets and Price Competition with Multi-homing,CORE Discussion Paper,COREDisPaper,No.2004╱30,,,L13,"two-sided markets, networks, vertical differentiation",Gabszewicz and Wauthy (2004)_Two-Sided Markets and Price Competition with Multi-Homing_CORE Discussion Paper No.2004╱30,2010-02-04 00:00:00,2010-02-04 00:00:00,1,3.0,/volume1/web/DB/000035,/volume1/web/DB/000035/000035_en.pdf,/volume1/web/DB/Gabszewicz_Wauthy2004_CORE_inChinese_20100204_fcnfin.pdf,2020-10-03 00:00:04.483271,1,,
000036,FC before,20190701,B,賴孚權,,78.0,,Galeotti and Moraga-Gonz?lez,Andrea Galeotti and Jos? Luis Moraga-Gonz?lez,2009.0,Platform intermediation in a market for differentiated products,European Economic Review,EurER,53(4),417–428,,"L12, L13, D42, D43","Two-sided markets, Network externalities, Intermediation, Advertising","Galeotti and Moraga-Gonzalez (2009)_Platform Intermediation in a Market for Differentiated Products_European Economic Review 53(4), 417-428",2011-02-21 00:00:00,2011-02-21 00:00:00,1,3.0,/volume1/web/DB/000036,/volume1/web/DB/000036/000036_en.pdf,/volume1/web/DB/Galeotti_Moraga-Gonzalez2009_EuropeanER_inChinese_20110221_fcnfin.pdf,2020-10-03 00:00:04.483062,1,,
000037,FC before,20190701,B,賴孚權,,60.0,,Genesove and Mullin,David Genesove and Wallace P. Mullin,2006.0,"Predation and its rate of return: the sugar industry, 1887–1914",RAND Journal of Economics,RAND,37(1),47–69,,,,"Genesove and Mullin (2006)_Predation and Its Rate of Return：the Sugar Industry, 1887-1914_RAND Journal of Economics 37(1), 47-69",2018-07-16 00:00:00,2018-07-16 00:00:00,1,3.0,/volume1/web/DB/000037,/volume1/web/DB/000037/000037_en.pdf,/volume1/web/DB/Genesove_Mullin2006_RANDJE_inChinese_20180716_fcnfin.pdf,2020-10-03 00:00:04.482862,1,,
000038,FC before,20190701,B,賴孚權,,151.0,,"Gentzkow, Shapiro and Sinkinson","Matthew Gentzkow, Jesse M. Shapiro, and Michael Sinkinson",2014.0,Competition and Ideological Diversity: Historical Evidence from US Newspapers,American Economic Review,AER,104(10),3073–3114,,"D72, K21, L13, L41, L82, N42, N72",,"Gentzkow, Shapiro and Sinkinson (2014)_Competition and Ideological Diversity - Historical Evidence from US Newspapers_AER 104(10), 3073-3114",2018-03-14 00:00:00,2018-03-14 00:00:00,0,1.0,/volume1/web/DB/000038,/volume1/web/DB/000038/000038_en.pdf,/volume1/web/DB/Gentzkow_Shapiro_Sinkinson2014_AER_inChinese_20180314_pcn.pdf,2020-10-03 00:00:04.482633,1,,
000039,FC before,20190701,B,賴孚權,,18.0,,"Gerardi, McConnell, Romero and Yariv","Dino Gerardi, Margaret A. McConnell, Julian Romero and Leeat Yariv",2016.0,Get Out the (Costly) Vote: Institutional Design For Greater Participation,Economic Inquiry,Einquiry,54(4),1963–1979,,"C92, D72, D02",,"Gerardi, McConnell, Romero and Yariv (2016)_Get Out the (Costly) Vote - Institutional Design_Economic Inquiry 54(4), 1963-1979",2018-03-14 00:00:00,2018-03-14 00:00:00,0,1.0,/volume1/web/DB/000039,/volume1/web/DB/000039/000039_en.pdf,/volume1/web/DB/Gerardi_McConnell_Romero_Yariv2016_EInquiry_inChinese_20180314_pcn.pdf,2020-10-03 00:00:04.482431,1,,
000040,FC before,20190701,B,賴孚權,,80.0,,Gilbert,Richard J. Gilbert,2015.0,E-books: A Tale of Digital Disruption,Journal of Economic Perspectives,JEPerspectives,29(3),165-184,,,,"Gilbert (2015)_E-books - A Tale of Digital Disruption_Journal of Economic Perspectives 29(3), 165-184",2016-02-26 00:00:00,2016-02-26 00:00:00,1,3.0,/volume1/web/DB/000040,/volume1/web/DB/000040/000040_en.pdf,/volume1/web/DB/Gilbert2015_JEPerspectives_inChinese_20160226_fcnfin.pdf,2020-10-03 00:00:04.482225,1,,
000041,FC before,20190701,B,賴孚權,,10.0,,Graitson,D. Graitson,1980.0,On Hotelling's 'Stability in Competition' Again,Economics Letters,EL,6,1月6日,,,,"Graitson (1980)_On Hotelling's 'Stability in Competition' Again_Economic Letter 6(1), 1-6",2019-02-23 00:00:00,2019-02-23 00:00:00,0,1.0,/volume1/web/DB/000041,/volume1/web/DB/000041/000041_en.pdf,/volume1/web/DB/Graitson1980_EL_inChinese_20190223_pcn.pdf,2020-10-03 00:00:04.481962,1,,
000042,FC before,20190701,B,賴孚權,,108.0,,Gul and Pesendorfer,Faruk Gul and Wolfgang Pesendorfer,2012.0,The War of Information,Review of Economic Studies,REStud,79(2),707–734,,D72,"Political competition, Campaign spending","Gul and Pesendorfer (2012)_The War of Information_Review of Economics Studies 79(2), 707-734",2017-10-24 00:00:00,2017-10-24 00:00:00,1,3.0,/volume1/web/DB/000042,/volume1/web/DB/000042/000042_en.pdf,/volume1/web/DB/Gul_Pesendorfer2012_RES_inChinese_20171024_fcnfin.pdf,2020-10-03 00:00:04.481568,1,,
000043,FC before,20190701,B,賴孚權,,5.0,,Guo and Lai,Wen-Chung Guo and Fu-Chuan Lai,2017.0,"Prices, Locations and Welfare When an Online Retailer Competes with Heterogeneous Brick?and?Mortar Retailers",Journal of Industrial Economics,JIE,65(2),439-468,,"R32, L13, C62","Online retailer, brick-and-mortar retailers, location-and-price equilibrium, taxation, urban/rural locations",Prices_Locations_Welfare_Brick-and-Mortar_2018-1109,2019-01-31 00:00:00,2019-01-31 00:00:00,1,3.0,/volume1/web/DB/000043,/volume1/web/DB/000043/000043_en.pdf,/volume1/web/DB/Guo_Lai2017_inChinese_20190131_fcnfin.pdf,2020-10-03 00:00:04.473141,1,,
000044,FC before,20190701,B,賴孚權,,475.0,,Hagiu,Andrei Hagiu,2006.0,Pricing and commitment by two-sided platforms,RAND Journal of Economics,RAND,37(3),720–737,,,,"Hagiu (2006)_Pricing and Commitment by Two-Sided Platforms_RAND Journal of Economics 37(3), 720-737",2010-09-13 00:00:00,2010-09-13 00:00:00,1,3.0,/volume1/web/DB/000044,/volume1/web/DB/000044/000044_en.pdf,/volume1/web/DB/Hagiu2006_RAND_inChinese_20100913_fcnfin.pdf,2020-10-03 00:00:04.481277,1,,
000045,FC before,20190701,B,賴孚權,,36.0,,Hall,P Hall,1966.0,Von Thunen's isolated state,Von Thunen's isolated state (Der isolierte Staat),book,,,,,,Hall (1966)_von Thunen's Isolated State_Introduction & Notes and explanations,2017-12-11 00:00:00,2017-12-11 00:00:00,1,3.0,/volume1/web/DB/000045,/volume1/web/DB/000045/000045_en.pdf,/volume1/web/DB/Hall_1966_von-Thunen_inChinese_20171211_fcnfin.pdf,2020-10-03 00:00:04.481051,1,,
