流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check
000035,FC before,20190701,,賴孚權,,Gabszewicz and Wauthy,Jean J. Gabszewicz and Xavier Y. Wauthy,2004,Two-Sided Markets and Price Competition with Multi-homing,CORE Discussion Paper,COREDisPaper,No.2004／30,,,L13,"two-sided markets, networks, vertical differentiation",Gabszewicz and Wauthy (2004)_Two-Sided Markets and Price Competition with Multi-Homing_CORE Discussion Paper No.2004／30,,,0,3.0,,,,,0
000036,FC before,20190701,,賴孚權,,Galeotti and Moraga-González,Andrea Galeotti and José Luis Moraga-González,2009,Platform intermediation in a market for differentiated products,European Economic Review,EurER,53(4),417–428,,"L12, L13, D42, D43","Two-sided markets, Network externalities, Intermediation, Advertising","Galeotti and Moraga-Gonzalez (2009)_Platform Intermediation in a Market for Differentiated Products_European Economic Review 53(4), 417-428",,,0,3.0,,,,,0
000037,FC before,20190701,,賴孚權,,Genesove and Mullin,David Genesove and Wallace P. Mullin,2006,"Predation and its rate of return: the sugar industry, 1887–1914",RAND Journal of Economics,RAND,37(1),47–69,,,,"Genesove and Mullin (2006)_Predation and Its Rate of Return：the Sugar Industry, 1887-1914_RAND Journal of Economics 37(1), 47-69",,,0,3.0,,,,,0
000038,FC before,20190701,,賴孚權,,"Gentzkow, Shapiro and Sinkinson","Matthew Gentzkow, Jesse M. Shapiro, and Michael Sinkinson",2014,Competition and Ideological Diversity: Historical Evidence from US Newspapers,American Economic Review,AER,104(10),3073–3114,,"D72, K21, L13, L41, L82, N42, N72",,"Gentzkow, Shapiro and Sinkinson (2014)_Competition and Ideological Diversity - Historical Evidence from US Newspapers_AER 104(10), 3073-3114",,,0,3.0,,,,,0
000039,FC before,20190701,,賴孚權,,"Gerardi, McConnell, Romero and Yariv","Dino Gerardi, Margaret A. McConnell, Julian Romero and Leeat Yariv",2016,Get Out the (Costly) Vote: Institutional Design For Greater Participation,Economic Inquiry,Einquiry,54(4),1963–1979,,"C92, D72, D02",,"Gerardi, McConnell, Romero and Yariv (2016)_Get Out the (Costly) Vote - Institutional Design_Economic Inquiry 54(4), 1963-1979",,,0,3.0,,,,,0
000040,FC before,20190701,,賴孚權,,Gilbert,Richard J. Gilbert,2015,E-books: A Tale of Digital Disruption,Journal of Economic Perspectives,JEPerspectives,29(3),165-184,,,,"Gilbert (2015)_E-books - A Tale of Digital Disruption_Journal of Economic Perspectives 29(3), 165-184",,,0,3.0,,,,,0
000041,FC before,20190701,,賴孚權,,Graitson,D. Graitson,1980,On Hotelling's 'Stability in Competition' Again,Economics Letters,EL,6,1-6,,,,"Graitson (1980)_On Hotelling's 'Stability in Competition' Again_Economic Letter 6(1), 1-6",,,0,3.0,,,,,0
000042,FC before,20190701,,賴孚權,,Gul and Pesendorfer,Faruk Gul and Wolfgang Pesendorfer,2012,The War of Information,Review of Economic Studies,REStud,79(2),707–734,,D72,"Political competition, Campaign spending","Gul and Pesendorfer (2012)_The War of Information_Review of Economics Studies 79(2), 707-734",,,0,3.0,,,,,0
000043,FC before,20190701,,賴孚權,,Guo and Lai,Wen-Chung Guo and Fu-Chuan Lai,2017,"Prices, Locations and Welfare When an Online Retailer Competes with Heterogeneous Brick‐and‐Mortar Retailers",Journal of Industrial Economics,JIE,65(2),439-468,,"R32, L13, C62","Online retailer, brick-and-mortar retailers, location-and-price equilibrium, taxation, urban/rural locations",Prices_Locations_Welfare_Brick-and-Mortar_2018-1109,,,0,3.0,,,,,0
000044,FC before,20190701,,賴孚權,,Hagiu,Andrei Hagiu,2006,Pricing and commitment by two-sided platforms,RAND Journal of Economics,RAND,37(3),720–737,,,,"Hagiu (2006)_Pricing and Commitment by Two-Sided Platforms_RAND Journal of Economics 37(3), 720-737",,,0,3.0,,,,,0
000045,FC before,20190701,,賴孚權,,Hall,P Hall,1966,Von Thunen's isolated state,Von Thunen's isolated state (Der isolierte Staat),book,,,,,,Hall (1966)_von Thunen's Isolated State_Introduction & Notes and explanations,,,0,3.0,,,,,0
000046,FC before,20190701,,賴孚權,,"Hamilton, Thisse and Weskamp","Jonathan H. Hamilton, Jacques-François Thisse and Anita Weskamp",1989,Spatial discrimination: Bertrand vs. Cournot in a model of location choice,Regional Science and Urban Economics,RSUE,19(1),87-102,,,,"Hamilton, Thisse and Weskamp (1989)_Spatial Discrimination：Bertrand vs. Cournot in a Model of Location Choice_RSUE 19(1), 87-102",,,0,3.0,,,,,0
000047,FC before,20190701,,賴孚權,,Hoover,"Edgar M. Hoover, Jr",1937,Spatial Price Discrimination,Review of Economic Studies,REStud,4(3),182-191,,,,"Hoover (1937)_Spatial Price Discrimination_Review of Economic Studies 4(3), 182-191",,,0,3.0,,,,,0
000048,FC before,20190701,,賴孚權,,Hotelling,Harold Hotelling,1929,Stability in Competition,Economic Journal,EJ,39(153),41-57,,,,Hotelling (1929)_Stability in Competition,,,0,3.0,,,,,0
000049,FC before,20190701,,賴孚權,,Houde,Jean-François Houde,2012,Spatial Differentiation and Vertical Mergers in Retail Markets for Gasoline,American Economic Review,AER,102(5),2147–2182,,"G34, L13, L42, L81, Q41, R41",,"Houde (2012)_Spatial Differentiation and Vertical Mergers in Retail Markets for Gasoline_American Economic Review 102(5), 2147-2182",,,0,3.0,,,,,0
000050,FC before,20190701,,賴孚權,,Katz and Shapiro,Michael L. Katz and Carl Shapiro,1985,"Network Externalities, Competition, and Compatibility",American Economic Review,AER,75(3),424-440,,,,"Katz and Shapiro (1985)_Network Externalities, Competition, and Compatibility_American Economic Review 75(3), 424-440",,,0,3.0,,,,,0
000051,FC before,20190701,,賴孚權,,Kitahara and Matsumura,Minoru Kitahara and Toshihiro Matsumura,2013,"Mixed Duopoly, Product Differentiation and Competition",The Manchester School,ManchesterSchool,81(5),730–744,,,,"Kitahara and Matsumura (2013)_Mixed Duopoly, Product Differentiation and Competition_The Manchester School 81(5), 730-744",,,0,3.0,,,,,0
000052,FC before,20190701,,賴孚權,,Lambertini,Luca Lambertini,1997,Unicity of the equilibrium in the unconstrained Hotelling model,Regional Science and Urban Economics,RSUE,27(6),785-798,,L13,"Endogenous differentiation, Sequential moves, Extended game","Lambertini (1997)_Unicity of the Equilibrium in the Unconstrained Hotelling Model_RSUE 27(6), 785-798",,,0,3.0,,,,,0
000053,FC before,20190701,,賴孚權,,"Lendle, Olarreaga, Schropp and Vézina","Andreas Lendle, Marcelo Olarreaga, Simon Schropp and Pierre-Louis Vézina",2016,There Goes Gravity: eBay and the Death of Distance,Economic Journal,EJ,126(591),406–441,,,,"Lendle, Olarreaga, Schropp and Vezina (2016)_There Goes Gravity_The Economic Journal 126(591), 406-441",,,0,3.0,,,,,0
000054,FC before,20190701,,賴孚權,,Loertscher and Muehlheusser,Simon Loertscher and Gerd Muehlheusser,2011,Sequential location games,RAND Journal of Economics,RAND,42(4),639–663,,,,"Loertscher and Muehlheusser (2011)_Sequential location games_RAND Journal of Economics 42(4), 639-663",,,0,3.0,,,,,0
000055,FC before,20190701,,賴孚權,,Lu,Yuanzhu Lu,2006,Endogenous Timing in a Mixed Oligopoly with Foreign Competitors: the Linear Demand Case,Journal of Economics,JE,88(1),49–68,,"L13, D43, H42","mixed oligopoly, endogenous timing, foreign competitors","Lu (2006)_Endogenous Timing in a Mixed Oligopoly with Foreign Competitors：the Linear Demand Case_Journal of Economics 88(1), 49-68",,,0,3.0,,,,,0
000056,FC before,20190701,,賴孚權,,Manduchi and Picard,Agostino Manduchi and Robert Picard,2009,"Circulations, Revenues, and Profits in a Newspaper Market with Fixed Advertising Costs",Journal of Media Economics,JMediaE,22(4),211–238,,,,"Mabduchi and Picard (2009)_Circulations, Revenues, and Profits in a Newspaper Market with Fixed Advertising Costs_Journal of Media Economics 22(4), 211-238",,,0,3.0,,,,,0
000057,FC before,20190701,,賴孚權,,Marshall,John M. Marshall,1984,Gambles and the Shadow Price of Death,American Economic Review,AER,74(1),73-86,,,,"Marshall (1984)_Gambles and the Shadow Price of Death_American Economic Review 74(1), 73-86",,,0,3.0,,,,,0
000058,FC before,20190701,,賴孚權,,Matsumura,Toshihiro Matsumura,1998,Partial privatization in mixed duopoly,Journal of Public Economics,JPubE,70(3),473–483,,"C72, H42, L13","Quantity-setting duopoly, Partial privatization, Mixed oligopoly","Matsumura (1998)_Partial Privatization in Mixed Duopoly_Journal of Public Economics 70(3), 473-483",,,0,3.0,,,,,0
000059,FC before,20190701,,賴孚權,,Matsumura and Matsushima,Toshihiro Matsumura and Noriaki Matsushima,2004,Endogenous Cost Differentials between Public and Private Enterprises: A Mixed Duopoly Approach,Economica,Economica,71(284),671–688,,,,"Matsumura and Matsushima (2004)_Endogenous Cost Differentials_Economica 71(284), 671-688",,,0,3.0,,,,,0
000060,FC before,20190701,,賴孚權,,Matsushima,Noriaki Matsushima,2001,Cournot competition and spatial agglomeration revisited,Economics Letters,EL,73(2),175–177,,"D43, L13","Cournot, Spatial Competition, Agglomeration","Matsushima (2001)_Cournot Competition and Spatial Agglomeration Revisited_Economics Letters 73(2), 175-177",,,0,3.0,,,,,0
000061,FC before,20190701,,賴孚權,,Melitz,Marc J. Melitz,2003,The Impact of Trade on Intra-Industry Reallocations and Aggregate Industry Productivity,Econometrica,Econometrica,71(6),1695–1725,,,"Intra-industry trade, firm heterogeneity, firm dynamics, selection","Melitz (2003)_The Impact of Trade on Intra-Industry Reallocations_Econometrica, 71(6), 1695–1725",,,0,3.0,,,,,0
000062,FC before,20190701,,賴孚權,,Milliou and Pavlou,Chrysovalantou Milliou and Apostolis Pavlou,2013,"Upstream Mergers, Downstream Competition, and R&D Investments",Journal of Economics & Management Strategy,JEManageStrat,22(4),787–809,,,,"Milliou and Pavlou (2013)_Upstream Mergers, Downstream Competition, and R and D Investments_J of Econ & Manag Strategy 22(4), 787-809",,,0,3.0,,,,,0
000063,FC before,20190701,,賴孚權,,Nishida,Mitsukuni Nishida,2015,Estimating a Model of Strategic Network Choice: The Convenience-Store Industry in Okinawa,Marketing Science,MarketingSci,34(1),20-38,,,"entry, chain, supermodular games, convenience store, merger, retail competition","Nishida (2015)_Estimating a Model of Strategic Network Choice：The Convenience-Store Industry in Okinawa_Marketing Science 34(1),20-38",,,0,3.0,,,,,0
000064,FC before,20190701,,賴孚權,,Noriaki Matsushima and Toshihiro Matsumura,Noriaki Matsushima and Toshihiro Matsumura,2003,Mixed oligopoly and spatial agglomeration,Canadian Journal of Economics / Revue canadienne d'Economique,CanadianJE,36(1),62-87,,"H42, L13",,"Matsushima and Matsumura (2003)_Mixed Oligopoly and Spatial Agglomeration_Canadian Journal of EconomicsRevue canadienne d'economique, 36(1), 62-87",,,0,3.0,,,,,0
000065,FC before,20190701,,賴孚權,,Oliveros and Várdy,Santiago Oliveros and Felix Várdy,2015,Demand for Slant: How Abstention Shapes Voters' Choice of News Media,Economic Journal,EJ,125(587),1327–1368,,,,"Oliveros and Vardy (2015)_Demand for Slant - How Abstention Shapes Voters' Choice of News Media_Economic Journal 125(587), 1327-1368",,,0,3.0,,,,,0
